transaction_id,customer_id,customer_name,country,date,amount,category,merchant,currency
TX000000,CUST0108,Noah Simões,PT,2025-02-17T04:10:29.913711,-160.78,Dining,Frost Ltd,CNY
TX000001,CUST0112,Pascuala Marin Figueras,ES,2025-07-23T00:29:29.913711,-187.51,Utilities,Shepherd LLC,JPY
TX000002,CUST0150,ललित दत्ता,IN,2025-02-20T10:26:29.913711,-188.52,Dining,Sullivan PLC,USD
TX000003,CUST0084,佐々木 明美,JP,2024-12-07T02:37:29.913711,-105.34,Utilities,Callahan-Hughes,CAD
TX000004,CUST0062,Henri Philippe,FR,2025-06-30T23:34:29.913711,-71.5,Groceries,"Short, York and Hull",AUD
TX000005,CUST0119,Iara Esteves,PT,2024-11-28T08:03:29.913711,-401.58,Transfer,Morris Group,CNY
TX000006,CUST0027,Azra van der Horst,NL,2025-03-07T16:34:29.913711,-172.66,Healthcare,Williams-Lopez,CAD
TX000007,CUST0063,Eufemia Solís-Falcó,ES,2024-12-09T01:13:29.913711,-92.69,Shopping,Mann-Gregory,USD
TX000008,CUST0023,"गणेश, गौतम",IN,2025-03-01T15:48:29.913711,-158.32,Entertainment,Becker-Whitaker,USD
TX000009,CUST0042,Erika Grifeo-Errigo,IT,2025-05-13T10:46:29.913711,-47.11,Utilities,Myers Ltd,AUD
TX000010,CUST0178,Tammy Buchanan,US,2025-08-12T08:07:29.913711,-162.97,Entertainment,"Parker, Cooper and Jones",USD
TX000011,CUST0148,森 花子,JP,2025-08-04T12:09:29.913711,-190.22,Utilities,Rice-Hall,GBP
TX000012,CUST0014,Tanya Fowler,US,2025-07-18T13:16:29.913711,-83.97,Groceries,Francis-Garner,JPY
TX000013,CUST0103,宋博,CN,2025-01-01T04:37:29.913711,-192.25,Healthcare,Page-Randolph,CNY
TX000014,CUST0066,Leigh Watts,GB,2025-02-13T08:07:29.913711,-148.21,Utilities,"Booker, Davis and Garcia",INR
TX000015,CUST0117,Leocadio Severino Bermejo Rius,ES,2025-04-10T12:22:29.913711,-5.3,Entertainment,Article,EUR
TX000016,CUST0137,Caetana Valente,PT,2025-02-18T02:38:29.913711,-131.94,Groceries,Garcia Group,JPY
TX000017,CUST0094,Annunziata Bignardi,IT,2025-03-25T15:50:29.913711,-62.81,Shopping,Martinez-Hughes,USD
TX000018,CUST0170,Sig.ra Luciana Ferrara,IT,2025-08-10T20:21:29.913711,-16.91,Rent,Johnson Ltd,EUR
TX000019,CUST0027,Azra van der Horst,NL,2025-08-10T14:39:29.913711,-158.93,Utilities,"Hardin, Chapman and Hall",INR
TX000020,CUST0129,Jean Lewis-Collins,GB,2025-07-08T19:19:29.913711,-190.09,Shopping,"Roth, Smith and Alexander",INR
TX000021,CUST0011,林丽华,CN,2024-11-01T21:11:29.913711,-8.94,Groceries,Schultz-Hernandez,CAD
TX000022,CUST0141,高橋 直人,JP,2025-10-27T23:57:29.913711,-185.33,Groceries,Risk,GBP
